"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_100","finished","-","dhjayalath","","2023-03-01T06:26:42.000Z","139","","10","500","200","60","100","0.001","","","","199","","","0.03873072709441185","","3.9408408641815185","","18270","","","3.944313185501098","","0.04209962376952171","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_75","finished","-","dhjayalath","","2023-03-01T06:24:21.000Z","139","","10","500","200","60","75","0.001","","","","199","","","0.03905687728524208","","3.8905296686172486","","15245","","","3.9664198358535767","","0.04198083002567291","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_50","finished","-","dhjayalath","","2023-03-01T06:21:59.000Z","139","","10","500","200","60","50","0.001","","","","199","","","0.037063458877801894","","4.021337211799621","","12220","","","4.047481646537781","","0.04218473824262619","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_40","finished","-","dhjayalath","","2023-03-01T06:19:37.000Z","140","","10","500","200","60","40","0.001","","","","199","","","0.04087144649624824","","4.326796226501465","","11010","","","4.326796226501465","","0.04561187406778336","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_30","finished","-","dhjayalath","","2023-03-01T06:17:16.000Z","139","","10","500","200","60","30","0.001","","","","199","","","0.04802209361195564","","4.740148436927796","","9800","","","4.757863772392273","","0.05391107113957405","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_25","finished","-","dhjayalath","","2023-03-01T06:14:54.000Z","139","","10","500","200","60","25","0.001","","","","199","","","0.062057543259859085","","5.424536519241333","","9195","","","5.432135340118408","","0.06429720071554183","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_22","finished","-","dhjayalath","","2023-03-01T06:12:33.000Z","139","","10","500","200","60","22","0.001","","","","199","","","0.06583036054372787","","5.608854267120361","","8832","","","5.645237768936157","","0.06832641273736954","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_21","finished","-","dhjayalath","","2023-03-01T06:10:12.000Z","139","","10","500","200","60","21","0.001","","","","199","","","0.07088320404291153","","5.813826839828491","","8711","","","5.821414530181885","","0.07328123522996903","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_20","finished","-","dhjayalath","","2023-03-01T06:07:50.000Z","139","","10","500","200","60","20","0.001","","","","199","","","0.0698235057592392","","5.8289230430603025","","8590","","","5.843285955047607","","0.07436577118635178","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_19","finished","-","dhjayalath","","2023-03-01T06:05:30.000Z","137","","10","500","200","60","19","0.001","","","","199","","","0.14637414999008178","","6.1277810432434086","","8469","","","6.12871665763855","","0.1488301936030388","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_18","finished","-","dhjayalath","","2023-03-01T06:03:11.000Z","137","","10","500","200","60","18","0.001","","","","199","","","0.24467705636024475","","6.336751413726807","","8348","","","6.352922806930542","","0.24587339935302735","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_17","finished","-","dhjayalath","","2023-03-01T06:00:49.000Z","139","","10","500","200","60","17","0.001","","","","199","","","0.37781735668182376","","6.567046334075927","","8227","","","6.582923056793213","","0.37981091825962066","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_14","finished","-","dhjayalath","","2023-03-01T05:58:27.000Z","139","","10","500","200","60","14","0.001","","","","199","","","0.9612835542678831","","7.134459572601318","","7864","","","7.180657931900025","","0.962214778614044","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_11","finished","-","dhjayalath","","2023-03-01T05:56:06.000Z","139","","10","500","200","60","11","0.001","","","","199","","","1.7362166147232057","","7.828778864288331","","7501","","","7.913118492126465","","1.7362166147232057","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_3000","finished","-","ygideoni","","2023-03-01T05:53:46.000Z","2172","","10","500","200","184","3000","0.001","","","","199","","","0.00983921693265438","","1.4956140356063845","","1125818","","","1.8400269904136657","","0.01563897846490145","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_8","finished","-","dhjayalath","","2023-03-01T05:53:44.000Z","139","","10","500","200","60","8","0.001","","","","199","","","2.849075374984741","","8.464898329925537","","7138","","","8.747706035232543","","2.849136240386963","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_5","finished","-","dhjayalath","","2023-03-01T05:51:22.000Z","139","","10","500","200","60","5","0.001","","","","199","","","4.586600009155274","","9.174190334320068","","6775","","","9.720634977722169","","4.586600009155274","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_60","finished","-","dhjayalath","","2023-03-01T05:49:01.000Z","139","","10","500","200","52","60","0.001","","","","199","","","0.04771496134400368","","4.536405781173706","","11654","","","4.6030256469726565","","0.04771496134400368","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_250","finished","-","dhjayalath","","2023-03-01T05:46:39.000Z","139","","10","500","200","52","250","0.001","","","","199","","","0.05037884477376938","","4.391244601249695","","31604","","","4.492675514602661","","0.05170523507595062","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_150","finished","-","dhjayalath","","2023-03-01T05:44:18.000Z","139","","10","500","200","52","150","0.001","","","","199","","","0.051996612161397934","","4.497911873245239","","21104","","","4.528260229301453","","0.05621474096179008","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_2","finished","-","dhjayalath","","2023-03-01T05:41:56.000Z","139","","10","500","200","52","2","0.001","","","","199","","","7.06246185836792","","9.361210667419432","","5564","","","10.064886538696287","","7.076034191131591","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_5000","finished","-","dhjayalath","","2023-03-01T05:39:27.000Z","147","","10","500","200","52","5000","0.001","","","","199","","","0.04555754523277283","","4.663005435562134","","530354","","","4.8000996173858645","","0.04650752568244934","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_3000","finished","-","dhjayalath","","2023-03-01T05:37:05.000Z","139","","10","500","200","52","3000","0.001","","","","199","","","0.05015229972004891","","4.513526307106018","","320354","","","4.60685957736969","","0.0522001658141613","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_2000","finished","-","dhjayalath","","2023-03-01T05:34:44.000Z","139","","10","500","200","52","2000","0.001","","","","199","","","0.05588212293386459","","4.736436861991883","","215354","","","4.743012143707276","","0.06044191854596138","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_1500","finished","-","dhjayalath","","2023-03-01T05:32:21.000Z","140","","10","500","200","52","1500","0.001","","","","199","","","0.04768143213391304","","4.488795436096192","","162854","","","4.532024981880188","","0.05108345230817795","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_1000","finished","-","dhjayalath","","2023-03-01T05:29:59.000Z","139","","10","500","200","52","1000","0.001","","","","199","","","0.047707173854112626","","4.241339886856079","","110354","","","4.334679230499267","","0.05300987990498543","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_2000","finished","-","ygideoni","","2023-03-01T05:28:21.000Z","1522","","10","500","200","184","2000","0.001","","","","199","","","0.009762960297614335","","1.425626285648346","","756818","","","1.9035539652824405","","0.014211532819271087","",""
